Offset position [B],Time [s]
0,6.67572021484375e-05
200000,1.4543533325195312e-05
400000,1.4781951904296875e-05
600000,1.049041748046875e-05
800000,1.0013580322265625e-05
1000000,9.775161743164062e-06
1200000,9.5367431640625e-06
1400000,9.298324584960938e-06
1600000,9.298324584960938e-06
1800000,3.0279159545898438e-05
2000000,1.52587890625e-05
2200000,9.059906005859375e-06
2400000,9.5367431640625e-06
2600000,9.059906005859375e-06
2800000,9.059906005859375e-06
3000000,8.821487426757812e-06
3200000,9.059906005859375e-06
3400000,1.2874603271484375e-05
3600000,1.7642974853515625e-05
3800000,9.5367431640625e-06
4000000,8.821487426757812e-06
4200000,8.821487426757812e-06
4400000,8.58306884765625e-06
4600000,8.58306884765625e-06
4800000,8.821487426757812e-06
5000000,8.58306884765625e-06
5200000,9.5367431640625e-06
5400000,8.821487426757812e-06
5600000,8.58306884765625e-06
5800000,9.059906005859375e-06
6000000,8.821487426757812e-06
6200000,8.58306884765625e-06
6400000,9.059906005859375e-06
6600000,9.059906005859375e-06
6800000,9.298324584960938e-06
7000000,8.821487426757812e-06
7200000,8.821487426757812e-06
7400000,9.298324584960938e-06
7600000,9.059906005859375e-06
7800000,8.58306884765625e-06
8000000,8.821487426757812e-06
8200000,8.58306884765625e-06
8400000,8.58306884765625e-06
8600000,8.821487426757812e-06
8800000,8.821487426757812e-06
9000000,9.059906005859375e-06
9200000,9.5367431640625e-06
9400000,8.821487426757812e-06
9600000,9.059906005859375e-06
9800000,9.298324584960938e-06
10000000,9.059906005859375e-06
10200000,8.58306884765625e-06
10400000,9.059906005859375e-06
10600000,9.298324584960938e-06
10800000,8.821487426757812e-06
11000000,8.821487426757812e-06
11200000,8.821487426757812e-06
11400000,9.298324584960938e-06
11600000,9.059906005859375e-06
11800000,8.821487426757812e-06
12000000,8.821487426757812e-06
12200000,9.298324584960938e-06
12400000,8.821487426757812e-06
12600000,8.821487426757812e-06
12800000,8.821487426757812e-06
13000000,8.58306884765625e-06
13200000,8.821487426757812e-06
13400000,8.58306884765625e-06
13600000,9.059906005859375e-06
13800000,8.58306884765625e-06
14000000,8.58306884765625e-06
14200000,8.821487426757812e-06
14400000,8.58306884765625e-06
14600000,9.059906005859375e-06
14800000,8.821487426757812e-06
15000000,8.58306884765625e-06
15200000,9.059906005859375e-06
15400000,8.821487426757812e-06
15600000,8.821487426757812e-06
15800000,8.821487426757812e-06
16000000,9.059906005859375e-06
16200000,9.5367431640625e-06
16400000,9.059906005859375e-06
16600000,8.58306884765625e-06
16800000,8.821487426757812e-06
17000000,8.821487426757812e-06
17200000,8.821487426757812e-06
17400000,9.298324584960938e-06
17600000,9.059906005859375e-06
17800000,9.298324584960938e-06
18000000,8.58306884765625e-06
18200000,8.821487426757812e-06
18400000,8.58306884765625e-06
18600000,8.821487426757812e-06
18800000,8.821487426757812e-06
19000000,8.821487426757812e-06
19200000,8.58306884765625e-06
19400000,9.059906005859375e-06
19600000,8.821487426757812e-06
19800000,8.58306884765625e-06
